2022/06/01 03:31:23 [error] 7196#7196: *29664 open() "/var/www/html/sql/phpmyadmin5/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /sql/phpmyadmin5/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:23 [error] 7196#7196: *29664 open() "/var/www/html/sqlmanager/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /sqlmanager/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:23 [error] 7196#7196: *29664 open() "/var/www/html/phpMyAdmin5.1/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /phpMyAdmin5.1/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:23 [error] 7196#7196: *29664 open() "/var/www/html/admin/sqladmin/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /admin/sqladmin/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:24 [error] 7196#7196: *29664 open() "/var/www/html/phpmyadmin3/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /phpmyadmin3/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:24 [error] 7196#7196: *29664 open() "/var/www/html/db/db-admin/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /db/db-admin/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:24 [error] 7196#7196: *29664 open() "/var/www/html/sql/phpmanager/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /sql/phpmanager/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:24 [error] 7196#7196: *29664 open() "/var/www/html/phpmyadmin_/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /phpmyadmin_/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:24 [error] 7196#7196: *29664 open() "/var/www/html/db/phpmyadmin3/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /db/phpmyadmin3/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:25 [error] 7196#7196: *29664 open() "/var/www/html/sql/websql/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /sql/websql/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:25 [error] 7196#7196: *29664 open() "/var/www/html/sql/webdb/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /sql/webdb/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:25 [error] 7196#7196: *29664 open() "/var/www/html/mysql/db/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /mysql/db/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:25 [error] 7196#7196: *29664 open() "/var/www/html/db/phpMyAdmin-4/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /db/phpMyAdmin-4/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:26 [error] 7196#7196: *29664 open() "/var/www/html/sql/sql/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /sql/sql/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:26 [error] 7196#7196: *29664 open() "/var/www/html/phpmyadmin2016/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /phpmyadmin2016/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:26 [error] 7196#7196: *29664 open() "/var/www/html/phpMyAdmin-3/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /phpMyAdmin-3/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:26 [error] 7196#7196: *29664 open() "/var/www/html/db/websql/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /db/websql/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
2022/06/01 03:31:27 [error] 7196#7196: *29664 open() "/var/www/html/administrator/admin/index.php" failed (2: No such file or directory), client: 109.8.208.5, server: localhost-nginx-proxy-manager, request: "GET /administrator/admin/index.php?lang=en HTTP/1.1", host: "186.104.67.127"
